1,Movie,Take Care Good Night,Girish Joshi,2018,13+,110 min,"Drama, International",A Metro Family decides to fight a Cyber Criminal threatening their stability and pride 
2,Movie,Zoombies,Glenn Miller,2016,13+,87 min,"Horror, Science Fiction",When a strange virus quickly spreads through a safari park and turns all the zoo animals undead  those left in the park must stop the creatures before they escape and zombify the whole city 
4,Movie,Zis Boom Bah,William Nigh,1941,NR,62 min,"Arts, Entertainment, and Culture, Comedy, Drama", Hey  kids  let s get together and put on a show   That s the idea behind this raucous spoof about a vaudeville performer who goes to college to spy on her bratty son 
5,Movie,Zandalee,Sam Pillsbury,1991,R,94 min,Drama,Zandalee has grown bored with her poet turned businessman husband and has an affair with his best friend  When their passions grow wild  it proves to be too hot for any of them to handle 
6,Movie,Zambezi  Force of Life,Dr  Rudolf Lammers,2005,ALL,50 min,Documentary,The Zambezi river is the fourth longest river in Africa  flowing from the heart of Zambia all the way to the Indian Ocean  Along the way  we discover the breathtaking wildlife that call the river home  including hippos and crocodiles  As we follow the course of this infamous river  even more diverse wildlife is revealed along its shores  With danger at every turn  this is Zambezi 
7,Movie,Young Lovers,Ida Lupino,1949,18+,86 min,Drama,Talented and beautiful Carol Williams  Forrest  is devastated when she learns she has contracted Polio and becomes crippled by the disease  The depressed and embittered young woman breaks her engagement to her dance partner and choreographer  Guy Richards  Brasselle   but he is determined to stay by her side  Preferring to be alone in her misery  Carol slowly learns to allow others to help her and share in her grief  She is finally able to bring herself to participate in and go on with her new life 
8,Movie,You re Not You,George C  Wolfe,2015,R,103 min,Drama,A drama centered on a classical pianist who has been diagnosed with ALS and the brash college student who becomes her caregiver 
9,Movie,Yoga with Sound Meditations,Mark Knight,2016,ALL,9 min,"Fitness, Special Interest",This session will establish how to prepare for the practice of both mindfulness and meditation  We learn to sit with a correctly aligned spine  to observe  regulate  slow down and control the breath  These in turn will act upon the mind and begin to still its chatter and noise  Performed by Anne Marie Newland founder of Sun Power Yoga teacher training school and author of  Sun Power Yoga Shala  
10,Movie,Yoga to Harness Your Chakra Energy,Mark Knight,2014,ALL,18 min,"Faith and Spirituality, Special Interest",Sharecare Windows presents Caroline Shola Arewa who describes the positions  meaning and qualities of energy  as well as the seven main chakras  gently leading you into a guided chakra meditation  Chakras are at the heart of the human energy system and understanding the chakra system can positively affect your physical health  emotional stability and spiritual awareness 
11,Movie,Yoga to Ease Flight Anxiety,Mark Knight,2016,ALL,14 min,"Fitness, Special Interest",Reduce the stress of flying by using these simple and affective yoga based moves to keep the blood flowing around the body  Help prevent Deep Vein Thrombosis and allow the heart and the brain to get as much oxygen on board as possible  Drink plenty of water and get up and walk It s really simple and effective 
